scan_date,ticker,direction,recommended_contract,recommended_dte,recommended_volume,recommended_oi,recommended_spread_pct,overnight_score,premium_score,active_days_20d,median_vol_20d,mean_vol_20d,max_vol_20d,scan_day_vs_mean_ratio,fillable_entry_day,next_day_pct,day2_pct,day3_pct,peak_return_3d,outcome_tier,is_win,ad_1,ad_5,ad_10,ad_25,ad_50
2026-04-13,PATH,BEARISH,O:PATH260522P00010000,38,382,34,0.0506,4,1,5,0.0,2.15,36,177.67441860465118,True,-0.9881377691336696,4.841893840684258,4.841893840684258,2.124508567478338,directional,True,5,1,1,1,0
2026-04-13,SHAK,BULLISH,O:SHAK260424C00103000,10,28,0,0.0235,4,0,0,0.0,0.0,0,28.0,False,2.0963756942180454,0.5166400088875378,-0.8941877794336867,4.013912013319667,strong,True,0,0,0,0,0
2026-04-13,RBRK,BEARISH,O:RBRK260508P00054000,24,20,0,0.0,4,1,0,0.0,0.0,0,20.0,False,-1.1931726408210748,5.65727342183,6.850439470703527,2.797778234931083,directional,True,0,0,0,0,0
2026-04-13,RJF,BEARISH,O:RJF260515P00165000,31,38,36,0.0,2,0,0,0.0,0.0,0,38.0,False,1.9019722867187987,3.5911446914018303,0.3258632774832466,-0.0864534149098859,wrong,False,0,0,0,0,0
2026-04-13,PYPL,BULLISH,O:PYPL260529C00052000,45,11,0,0.0754,6,0,0,0.0,0.0,0,11.0,True,0.968219786788312,4.335928635706631,4.841088977670002,5.135762498293949,home_run,True,0,0,0,0,0
2026-04-13,SKYT,BULLISH,O:SKYT260424C00029500,10,25,14,0.0,3,0,0,0.0,0.0,0,25.0,True,7.869413710132083,10.790383774799984,11.786937385899908,13.402061855670096,home_run,True,0,0,0,0,0
2026-04-13,SCHW,BEARISH,O:SCHW260424P00097000,10,330,330,0.0695,4,0,4,0.0,16.7,330,19.76047904191617,True,1.6427288494864782,3.595409280986052,-4.308293473931165,5.03151341156596,home_run,True,4,1,1,1,1
2026-04-13,SEZL,BEARISH,O:SEZL260515P00060000,31,19,115,0.0939,2,0,17,2.5,3.8,16,5.0,True,10.9117599086609,15.250372960543748,20.983531319128705,-1.9588999949666612,wrong,False,17,5,3,0,0
2026-04-13,SMCI,BEARISH,O:SMCI260424P00026500,10,19,3,0.0781,5,1,2,0.0,0.3,4,19.0,True,4.736237054060279,5.082791357440682,9.356948858414611,-2.0408163265306167,wrong,False,2,0,0,0,0
2026-04-13,SNOW,BULLISH,O:SNOW260424C00123000,10,23,0,0.062,5,1,0,0.0,0.0,0,23.0,False,0.9162702776393892,7.628125541968902,6.935341963466778,12.842666662350307,home_run,True,0,0,0,0,0
